연도,시군구,법정동코드,총 인구,고령자 수,고령자 비율 (%),시군구명
2023,전라남도 장성군,4688000000,42543,14143,33.2,전라남도 장성군
2023,전라북도 완주군,4689000000,97827,24192,24.7,전라북도 완주군
2023,전라남도 완도군,4689000000,46641,16776,36,전라남도 완도군
2023,전라북도 진안군,4690000000,24465,9433,38.6,전라북도 진안군
2023,전라남도 진도군,4690000000,28979,10679,36.9,전라남도 진도군
2023,전라남도 신안군,4691000000,38037,14914,39.2,전라남도 신안군
2023,경상북도 포항시,4711000000,493033,104052,21.1,경상북도 포항시
2023,경상북도 경주시,4713000000,247489,64296,26,경상북도 경주시
2023,경상북도 김천시,4715000000,137515,35830,26.1,경상북도 김천시
2023,경상북도 안동시,4717000000,152935,42408,27.7,경상북도 안동시
2023,경상북도 구미시,4719000000,405506,48298,11.9,경상북도 구미시
2023,경상북도 영주시,4721000000,100199,30454,30.4,경상북도 영주시
2023,경상북도 영천시,4723000000,100212,31782,31.7,경상북도 영천시
2023,경상북도 상주시,4725000000,93858,32749,34.9,경상북도 상주시
2023,경상북도 문경시,4728000000,68755,23386,34,경상북도 문경시
2023,경상북도 경산시,4729000000,266205,51977,19.5,경상북도 경산시
2023,경상북도 군위군,4773000000,-,-,-,경상북도 군위군
2023,경상북도 의성군,4773000000,50086,22723,45.4,경상북도 의성군
2023,경상북도 청송군,4775000000,24019,10043,41.8,경상북도 청송군
2023,경상북도 영양군,4776000000,15661,6486,41.4,경상북도 영양군
2023,경상북도 영덕군,4777000000,34055,14211,41.7,경상북도 영덕군
2023,경상북도 청도군,4782000000,41316,17342,42,경상북도 청도군
2023,경상북도 고령군,4783000000,30139,10862,36,경상북도 고령군
2023,경상북도 성주군,4784000000,42086,15405,36.6,경상북도 성주군
2023,경상북도 칠곡군,4785000000,110581,20840,18.8,경상북도 칠곡군
2023,경상북도 예천군,4790000000,55325,17898,32.4,경상북도 예천군
2023,경상북도 봉화군,4792000000,29603,12232,41.3,경상북도 봉화군
2023,경상북도 울진군,4793000000,46669,14583,31.2,경상북도 울진군
2023,경상북도 울릉군,4794000000,9077,2629,29,경상북도 울릉군
2023,경상남도 창원시,4812000000,1009038,180319,17.9,경상남도 창원시
2023,경상남도 진주시,4817000000,341074,67312,19.7,경상남도 진주시
2023,경상남도 통영시,4822000000,120551,28780,23.9,경상남도 통영시
2023,경상남도 사천시,4824000000,109030,27114,24.9,경상남도 사천시
2023,경상남도 김해시,4825000000,533659,74830,14,경상남도 김해시
2023,경상남도 밀양시,4827000000,102084,33742,33.1,경상남도 밀양시
2023,경상남도 거제시,4831000000,234038,33622,14.4,경상남도 거제시
2023,경상남도 양산시,4833000000,355122,59643,16.8,경상남도 양산시
2023,경상남도 의령군,4872000000,25475,10479,41.1,경상남도 의령군
2023,경상남도 함안군,4873000000,60203,17961,29.8,경상남도 함안군
2023,경상남도 창녕군,4874000000,57083,20640,36.2,경상남도 창녕군
2023,경상남도 고성군,4882000000,49468,17491,35.4,경상남도 고성군
2023,경상남도 남해군,4884000000,40780,16889,41.4,경상남도 남해군
2023,경상남도 하동군,4885000000,41606,16518,39.7,경상남도 하동군
2023,경상남도 산청군,4886000000,33752,13847,41,경상남도 산청군
2023,경상남도 함양군,4887000000,36945,14001,37.9,경상남도 함양군
2023,경상남도 거창군,4888000000,60047,18536,30.9,경상남도 거창군
2023,경상남도 합천군,4889000000,41203,17922,43.5,경상남도 합천군
2023,제주특별자치도 제주시,5011000000,491654,81115,16.5,제주특별자치도 제주시
2023,제주특별자치도 서귀포시,5013000000,183598,40041,21.8,제주특별자치도 서귀포시
2023,강원도 춘천시,5111000000,286426,58611,20.5,강원도 춘천시
2023,강원도 원주시,5113000000,361503,64487,17.8,강원도 원주시
2023,강원도 강릉시,5115000000,209439,51700,24.7,강원도 강릉시
2023,강원도 동해시,5117000000,88625,20861,23.5,강원도 동해시
2023,강원도 태백시,5119000000,38702,11300,29.2,강원도 태백시
2023,강원도 속초시,5121000000,82054,18496,22.5,강원도 속초시
2023,강원도 삼척시,5123000000,62651,18014,28.8,강원도 삼척시
2023,강원도 홍천군,5172000000,67309,21287,31.6,강원도 홍천군
2023,강원도 횡성군,5173000000,46359,16038,34.6,강원도 횡성군
2023,강원도 영월군,5175000000,37332,12705,34,강원도 영월군
2023,강원도 평창군,5176000000,40659,13501,33.2,강원도 평창군
2023,강원도 정선군,5177000000,34202,11250,32.9,강원도 정선군
2023,강원도 철원군,5178000000,41448,11093,26.8,강원도 철원군
2023,강원도 화천군,5179000000,23007,6136,26.7,강원도 화천군
2023,강원도 양구군,5180000000,21056,5278,25.1,강원도 양구군
2023,강원도 인제군,5181000000,32020,7627,23.8,강원도 인제군
2023,강원도 고성군,5182000000,27305,8773,32.1,강원도 고성군
2023,강원도 양양군,5183000000,27710,9398,33.9,강원도 양양군
2023,전라북도 전주시,5211000000,642727,111617,17.4,전라북도 전주시
2023,전라북도 군산시,5213000000,259980,57042,21.9,전라북도 군산시
2023,전라북도 익산시,5214000000,270036,62046,23,전라북도 익산시
